instance,step,objective,time_sec,nodes
mini_ca_test_000,0,565.1200284542538,1.4047420024871826,1.0
mini_ca_test_000,1,565.1200284542538,0.011741876602172852,1.0
mini_ca_test_000,2,565.1200284542538,0.008404970169067383,1.0
mini_ca_test_000,3,565.1200284542538,0.006961822509765625,1.0
mini_ca_test_001,0,546.9096225438095,0.005930185317993164,1.0
mini_ca_test_001,1,546.9096225438095,0.004827022552490234,1.0
mini_ca_test_001,2,546.9096225438095,0.00501704216003418,1.0
mini_ca_test_001,3,546.9096225438095,0.015730857849121094,1.0
mini_ca_test_002,0,508.25271036438056,0.00867915153503418,1.0
mini_ca_test_002,1,508.25271036438056,0.007599830627441406,1.0
mini_ca_test_002,2,508.25271036438056,0.005913734436035156,1.0
mini_ca_test_002,3,508.25271036438056,0.005020856857299805,1.0
mini_ca_test_003,0,506.11775149331464,0.005201816558837891,1.0
mini_ca_test_003,1,506.11775149331464,0.005889892578125,1.0
mini_ca_test_003,2,506.11775149331464,0.004368782043457031,1.0
mini_ca_test_003,3,506.11775149331464,0.004287004470825195,1.0
