instance,best_objective,total_time_sec,mean_nodes
mini_ca_test_000,565.1200284542538,1.4318506717681885,1.0
mini_ca_test_001,546.9096225438095,0.03150510787963867,1.0
mini_ca_test_002,508.25271036438056,0.027213573455810547,1.0
mini_ca_test_003,506.11775149331464,0.019747495651245117,1.0
Average,531.6000282139396,0.3775792121887207,1.0
