@epoch0   Train loss:52.33912913004557   Valid loss:48.1507822672526    TIME:0.08078217506408691
@epoch1   Train loss:46.13133324517144   Valid loss:43.206868489583336    TIME:0.02603006362915039
@epoch2   Train loss:40.46617126464844   Valid loss:38.77398681640625    TIME:0.02767491340637207
@epoch3   Train loss:35.46379725138346   Valid loss:37.5508778889974    TIME:0.02833700180053711
@epoch4   Train loss:33.85248904758029   Valid loss:39.86701202392578    TIME:0.024547815322875977
@epoch5   Train loss:34.89116117689345   Valid loss:38.63761901855469    TIME:0.024719953536987305
@epoch6   Train loss:33.829245461357964   Valid loss:36.73649597167969    TIME:0.025548934936523438
@epoch7   Train loss:33.58008236355252   Valid loss:36.24688720703125    TIME:0.025700807571411133
@epoch8   Train loss:32.770933363172745   Valid loss:35.907946268717446    TIME:0.02661609649658203
@epoch9   Train loss:32.21734491984049   Valid loss:34.02159881591797    TIME:0.02825188636779785
@epoch10   Train loss:31.47340308295356   Valid loss:33.18268330891927    TIME:0.02554798126220703
@epoch11   Train loss:31.3766475253635   Valid loss:32.72303263346354    TIME:0.026018857955932617
@epoch12   Train loss:31.189645555284287   Valid loss:32.56984202067057    TIME:0.025089025497436523
@epoch13   Train loss:31.083736843532986   Valid loss:32.485033671061196    TIME:0.02519392967224121
@epoch14   Train loss:31.029183917575413   Valid loss:32.261983235677086    TIME:0.02683711051940918
@epoch15   Train loss:31.01254611545139   Valid loss:32.39222717285156    TIME:0.024145841598510742
@epoch16   Train loss:30.891449610392254   Valid loss:32.00668589274088    TIME:0.025439977645874023
@epoch17   Train loss:30.854801813761394   Valid loss:32.77887980143229    TIME:0.023344993591308594
@epoch18   Train loss:31.01937993367513   Valid loss:32.21550496419271    TIME:0.023973941802978516
@epoch19   Train loss:30.92512363857693   Valid loss:32.70390828450521    TIME:0.02369093894958496
@epoch20   Train loss:30.937473509046768   Valid loss:32.03926340738932    TIME:0.023662090301513672
@epoch21   Train loss:30.727694617377388   Valid loss:31.76037089029948    TIME:0.03957486152648926
@epoch22   Train loss:30.61572308010525   Valid loss:31.83258310953776    TIME:0.0345921516418457
@epoch23   Train loss:30.42359797159831   Valid loss:31.486673990885418    TIME:0.025452613830566406
@epoch24   Train loss:30.29317198859321   Valid loss:31.393173217773438    TIME:0.025563955307006836
@epoch25   Train loss:29.981922573513454   Valid loss:31.53558603922526    TIME:0.023537158966064453
@epoch26   Train loss:30.153341081407333   Valid loss:33.22566223144531    TIME:0.023756980895996094
@epoch27   Train loss:31.38499493069119   Valid loss:36.80441029866537    TIME:0.023518085479736328
@epoch28   Train loss:32.807388093736435   Valid loss:31.431371053059895    TIME:0.024089813232421875
@epoch29   Train loss:31.307393815782333   Valid loss:31.790669759114582    TIME:0.023889780044555664
@epoch30   Train loss:30.859124925401474   Valid loss:33.00788879394531    TIME:0.02431511878967285
@epoch31   Train loss:31.137801276312935   Valid loss:32.95757039388021    TIME:0.025141000747680664
@epoch32   Train loss:30.899426142374676   Valid loss:32.290173848470054    TIME:0.024341821670532227
@epoch33   Train loss:30.943998336791992   Valid loss:32.0794932047526    TIME:0.02407670021057129
@epoch34   Train loss:30.852509392632378   Valid loss:32.13236745198568    TIME:0.024383068084716797
@epoch35   Train loss:30.703135596381294   Valid loss:32.29424540201823    TIME:0.023723840713500977
@epoch36   Train loss:30.675445556640625   Valid loss:31.83710479736328    TIME:0.02386474609375
@epoch37   Train loss:30.503212610880535   Valid loss:31.592697143554688    TIME:0.024276018142700195
@epoch38   Train loss:30.40264023674859   Valid loss:31.561546325683594    TIME:0.02320265769958496
@epoch39   Train loss:30.197323693169487   Valid loss:31.083941141764324    TIME:0.02521491050720215
@epoch40   Train loss:29.85922410753038   Valid loss:30.85956319173177    TIME:0.026296138763427734
@epoch41   Train loss:29.83801311916775   Valid loss:32.09073130289713    TIME:0.02319788932800293
@epoch42   Train loss:30.42029317220052   Valid loss:35.789955139160156    TIME:0.023712873458862305
@epoch43   Train loss:31.961602528889973   Valid loss:33.94378407796224    TIME:0.024394989013671875
@epoch44   Train loss:32.24137390984429   Valid loss:33.05646514892578    TIME:0.024923324584960938
@epoch45   Train loss:30.979017469618057   Valid loss:32.31634012858073    TIME:0.023905038833618164
@epoch46   Train loss:31.32312477959527   Valid loss:32.335591634114586    TIME:0.030339956283569336
@epoch47   Train loss:31.047000037299263   Valid loss:32.36370340983073    TIME:0.023102998733520508
@epoch48   Train loss:30.820178561740452   Valid loss:32.41231028238932    TIME:0.024194002151489258
@epoch49   Train loss:30.78172387017144   Valid loss:31.947659810384113    TIME:0.0286409854888916
